idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
13,0,in_cluster,0,13,11,3.294,3.329,0.910,2.012,3.995,0.095,-18.97,0.2615,0.6163,0.6815,0.5031,0.1143,0.8915,0.7837
14,0,in_cluster,0,13,11,3.232,4.068,0.895,2.011,3.995,0.095,-21.70,0.2352,0.6718,0.7198,0.5749,0.1040,0.8931,0.7693
15,0,in_cluster,0,13,11,2.885,3.528,0.878,1.620,3.995,0.095,-19.65,0.1501,0.7072,0.7416,0.5223,0.0234,0.8906,0.7616
16,0,in_cluster,0,13,11,2.793,3.120,0.830,1.742,3.995,0.095,-18.29,0.1880,0.7012,0.7367,0.5201,0.0519,0.8960,0.7577
17,0,in_cluster,0,13,11,2.897,3.394,0.815,2.018,3.995,0.095,-19.19,0.3584,0.7039,0.7372,0.6352,0.1152,0.9240,0.7588
18,0,in_cluster,0,13,3,2.917,3.615,0.725,2.435,3.765,0.129,-22.68,0.3396,0.7185,0.7448,0.6573,0.1127,0.9141,0.7654
19,0,in_cluster,0,13,11,2.992,3.313,0.870,1.734,3.995,0.095,-18.92,0.2666,0.7206,0.7479,0.5736,0.0709,0.8949,0.7654
20,0,in_cluster,0,13,11,2.997,3.875,0.867,1.714,3.995,0.095,-20.94,0.4484,0.6788,0.7205,0.6703,0.1905,0.8841,0.7722
21,0,in_cluster,0,13,11,3.186,3.535,0.884,1.958,3.995,0.095,-19.68,0.3845,0.6313,0.6977,0.5588,0.1816,0.8861,0.7722
22,0,in_cluster,0,13,11,3.298,3.566,0.918,1.986,3.995,0.095,-19.79,0.2972,0.6721,0.7260,0.5731,0.1228,0.9154,0.7722
23,0,in_cluster,0,13,11,3.786,4.294,0.870,2.864,3.995,0.095,-22.65,0.6807,0.7305,0.7628,0.7591,0.3751,0.9053,0.7722
24,0,in_cluster,0,13,11,3.194,3.630,0.860,2.078,3.995,0.095,-20.02,0.2743,0.7294,0.7630,0.5442,0.1135,0.9113,0.7722
25,0,in_cluster,0,13,11,3.178,3.737,0.925,1.789,3.995,0.095,-20.41,0.1461,0.6736,0.7331,0.4763,0.0131,0.9201,0.7654
26,0,in_cluster,0,13,11,3.021,3.902,0.882,1.775,3.995,0.095,-21.04,0.3320,0.6392,0.7220,0.6042,0.1406,0.9056,0.7854
27,0,in_cluster,0,13,11,3.004,3.956,0.863,1.856,3.995,0.095,-21.25,0.3383,0.6643,0.7318,0.5612,0.0997,0.9132,0.8060
28,0,in_cluster,0,13,11,2.831,3.521,0.869,1.560,3.995,0.095,-19.63,0.2809,0.7239,0.7558,0.5081,0.0616,0.9241,0.7605
29,0,in_cluster,0,13,11,3.001,3.787,0.876,1.891,3.995,0.095,-20.60,0.4203,0.7399,0.7700,0.6372,0.1076,0.9389,0.7575
30,0,in_cluster,0,13,11,2.858,2.949,0.858,1.697,3.995,0.095,-17.78,0.2759,0.7393,0.7726,0.5821,0.1300,0.9278,0.7571
31,0,in_cluster,0,11,13,3.223,3.529,0.094,2.371,3.995,0.095,-18.62,0.4006,0.7124,0.7555,0.5700,0.0676,0.9231,0.7565
32,0,in_cluster,0,13,11,3.003,3.811,0.886,1.631,3.995,0.095,-20.69,0.1290,0.6897,0.7458,0.5019,0.0075,0.9372,0.7565
33,0,in_cluster,0,13,11,3.486,4.067,0.867,2.525,3.995,0.095,-21.70,0.4938,0.7460,0.7822,0.6688,0.1265,0.9339,0.7575
34,0,in_cluster,0,13,3,2.992,3.631,0.718,2.487,3.765,0.129,-20.44,0.2981,0.7474,0.7802,0.6577,0.1705,0.9382,0.7616
35,0,in_cluster,0,13,11,3.217,3.248,0.863,2.255,3.995,0.095,-18.70,0.4506,0.7149,0.7492,0.6517,0.1319,0.9484,0.7588
36,0,in_cluster,0,13,11,2.952,3.418,0.900,1.523,3.995,0.095,-19.27,0.1978,0.6896,0.7420,0.4533,0.0040,0.9361,0.7577
37,0,in_cluster,0,13,11,2.810,4.698,0.809,1.675,3.995,0.095,-24.46,0.4095,0.7044,0.7506,0.6042,0.1369,0.9187,0.7563
38,0,in_cluster,0,13,11,2.714,5.039,0.767,1.827,3.995,0.095,-26.12,0.7236,0.7421,0.7744,0.7136,0.3050,0.9220,0.7571
39,0,in_cluster,0,13,11,3.181,3.430,0.858,2.048,3.995,0.095,-19.31,0.4788,0.7390,0.7692,0.6030,0.1725,0.9383,0.7588
40,0,in_cluster,0,13,11,2.919,3.272,0.887,1.470,3.995,0.095,-18.78,0.1793,0.6848,0.7286,0.4584,0.0152,0.9331,0.7567
41,0,in_cluster,0,13,11,2.413,5.341,0.779,1.077,3.995,0.095,-27.68,0.5611,0.6683,0.7078,0.5810,0.0962,0.9417,0.7563
42,0,in_cluster,0,13,11,2.794,4.864,0.795,1.721,3.995,0.095,-25.26,0.4475,0.6956,0.7324,0.5799,0.1017,0.9387,0.7566
43,0,in_cluster,0,13,11,2.846,3.554,0.818,1.867,3.995,0.095,-19.75,0.7337,0.7473,0.7799,0.7304,0.3100,0.9360,0.7571
44,0,in_cluster,0,13,11,2.919,4.254,0.751,2.322,3.995,0.095,-22.48,0.6737,0.7652,0.7911,0.7567,0.2902,0.9468,0.7563
45,0,in_cluster,0,13,11,2.916,4.045,0.755,2.249,3.995,0.095,-21.61,0.5387,0.7443,0.7600,0.7484,0.2535,0.9489,0.7561
46,0,in_cluster,0,13,11,2.940,4.003,0.775,2.223,3.995,0.095,-21.44,0.3426,0.7251,0.7410,0.6838,0.1752,0.9478,0.7562
47,0,in_cluster,0,13,11,2.817,3.973,0.826,1.658,3.995,0.095,-21.32,0.5038,0.7235,0.7433,0.5346,0.0746,0.9420,0.7560
48,0,in_cluster,0,13,11,2.786,4.654,0.853,1.386,3.995,0.095,-24.26,0.4150,0.7031,0.7285,0.5487,0.0196,0.9204,0.7559
49,0,in_cluster,0,13,11,2.512,5.590,0.785,1.315,3.995,0.095,-29.02,0.2946,0.7024,0.7294,0.5617,0.0516,0.9177,0.7558
50,0,in_cluster,0,13,11,2.589,4.976,0.794,1.353,3.995,0.095,-25.81,0.2596,0.7215,0.7446,0.5643,0.0576,0.9337,0.7556
51,0,in_cluster,0,13,11,2.658,4.641,0.830,1.277,3.995,0.095,-24.20,0.4036,0.6955,0.7281,0.5676,0.0818,0.9446,0.7556
52,0,in_cluster,0,13,11,2.706,5.168,0.830,1.322,3.995,0.095,-26.78,0.5209,0.6435,0.7017,0.5776,0.1368,0.9416,0.7551
53,0,in_cluster,0,13,11,2.732,5.598,0.798,1.513,3.995,0.095,-29.08,0.6115,0.6030,0.6791,0.5538,0.1116,0.9414,0.7537
54,0,in_cluster,0,13,11,3.134,5.471,0.821,2.119,3.995,0.095,-28.39,0.4349,0.6604,0.7088,0.5458,0.0383,0.9340,0.7373
55,0,in_cluster,0,13,11,2.952,4.410,0.834,1.806,3.995,0.095,-23.15,0.4729,0.7240,0.7467,0.6282,0.0668,0.9204,0.7363
56,0,in_cluster,0,13,11,3.439,4.295,0.880,2.309,3.995,0.095,-22.65,0.6104,0.7006,0.7275,0.6179,0.0744,0.9412,0.7367
57,0,in_cluster,0,13,11,2.899,4.144,0.881,1.454,3.995,0.095,-22.02,0.2159,0.6833,0.7102,0.4884,0.0191,0.9580,0.7370
58,0,in_cluster,0,13,11,3.323,5.070,0.805,2.486,3.995,0.095,-26.28,0.7449,0.7426,0.7546,0.7330,0.2209,0.9540,0.7376
59,0,in_cluster,0,13,11,2.735,5.001,0.716,2.175,3.995,0.095,-25.93,0.6963,0.7649,0.7772,0.7587,0.3162,0.9504,0.7368
60,0,in_cluster,0,13,11,2.949,4.218,0.763,2.265,3.995,0.095,-22.32,0.2327,0.7581,0.7606,0.6626,0.1310,0.9576,0.7364
61,0,in_cluster,0,13,11,2.984,4.260,0.770,2.193,3.995,0.095,-22.50,0.6449,0.7343,0.7273,0.7194,0.2249,0.9592,0.7377
62,0,in_cluster,0,13,11,2.932,4.823,0.841,1.738,3.995,0.095,-25.06,0.5696,0.6935,0.6941,0.6044,0.0412,0.9483,0.7371
63,0,in_cluster,0,13,11,2.820,5.064,0.823,1.537,3.995,0.095,-26.25,0.7225,0.6469,0.6723,0.6277,0.2205,0.9428,0.7362
64,0,in_cluster,0,13,11,2.796,5.506,0.794,1.637,3.995,0.095,-28.58,0.4743,0.6773,0.7008,0.5283,0.1007,0.9392,0.7366
65,0,in_cluster,0,13,11,2.744,5.149,0.814,1.600,3.995,0.095,-26.68,0.3603,0.7005,0.7234,0.6107,0.0637,0.9364,0.7368
66,0,in_cluster,0,13,11,2.632,5.035,0.773,1.730,3.995,0.095,-26.10,0.4334,0.6889,0.7169,0.5845,0.0948,0.9486,0.7365
67,0,in_cluster,0,13,11,2.835,5.045,0.836,1.613,3.995,0.095,-26.16,0.5774,0.6809,0.7121,0.5564,0.0284,0.9536,0.7355
68,0,in_cluster,0,13,11,3.138,4.783,0.864,1.934,3.995,0.095,-24.87,0.5855,0.6296,0.6779,0.6174,0.1022,0.9505,0.7347
69,0,in_cluster,0,13,11,3.338,4.888,0.839,2.252,3.995,0.095,-25.38,0.6791,0.6004,0.6694,0.5970,0.2115,0.9345,0.7352
70,0,in_cluster,0,13,11,2.991,4.285,0.850,1.699,3.995,0.095,-22.61,0.5591,0.6137,0.6822,0.5165,0.1120,0.9401,0.7359
71,0,in_cluster,0,13,11,3.142,4.880,0.856,1.997,3.995,0.095,-25.34,0.4126,0.6634,0.7066,0.5301,0.0455,0.9216,0.7349
72,0,in_cluster,0,13,11,2.847,4.398,0.863,1.447,3.995,0.095,-23.10,0.1292,0.6968,0.7312,0.4354,0.0020,0.9159,0.7344
73,0,in_cluster,0,13,3,3.178,4.056,0.806,2.470,3.765,0.129,-27.07,0.3337,0.6587,0.7049,0.5156,0.0308,0.9480,0.7345
74,0,in_cluster,0,13,3,3.171,4.789,0.774,2.322,3.765,0.129,-30.52,0.4628,0.6214,0.6769,0.4549,0.1026,0.9461,0.7336
75,0,in_cluster,0,13,3,3.238,5.674,0.733,2.502,3.765,0.129,-33.66,0.5406,0.6269,0.6805,0.5397,0.2055,0.9358,0.7332
76,0,in_cluster,0,13,3,3.330,4.779,0.788,2.495,3.765,0.129,-30.57,0.6196,0.6358,0.6812,0.5703,0.2951,0.9291,0.7309
77,0,in_cluster,0,13,3,3.571,5.565,0.761,2.731,3.765,0.129,-34.36,0.7992,0.6416,0.6838,0.7359,0.6598,0.9161,0.7316
78,0,in_cluster,0,13,3,3.529,4.875,0.796,2.598,3.765,0.129,-31.05,0.7376,0.6360,0.6845,0.6987,0.5462,0.9157,0.7302
79,0,in_cluster,0,13,3,2.984,4.294,0.809,2.082,3.765,0.129,-28.39,0.6489,0.6282,0.6866,0.6285,0.3884,0.9015,0.7313
80,0,in_cluster,0,13,10,3.215,4.635,0.825,2.464,3.962,0.112,-28.20,0.8814,0.6641,0.7150,0.8534,0.4042,0.8413,0.7323
81,0,in_cluster,0,13,10,2.845,4.496,0.717,2.293,3.962,0.112,-27.47,0.8668,0.6978,0.7395,0.8379,0.3921,0.8624,0.7302
82,0,in_cluster,0,13,3,2.722,3.465,0.774,1.929,3.765,0.129,-25.18,0.4935,0.6934,0.7340,0.5373,0.2547,0.9450,0.7319
83,0,in_cluster,0,13,3,2.956,4.377,0.766,2.211,3.765,0.129,-28.72,0.6989,0.6663,0.7194,0.6293,0.3268,0.9459,0.7336
84,0,in_cluster,0,13,3,2.556,4.531,0.780,1.578,3.765,0.129,-29.36,0.7436,0.6318,0.6980,0.6319,0.2807,0.9262,0.7332
85,0,in_cluster,0,13,3,2.538,4.344,0.826,1.367,3.765,0.129,-28.59,0.7522,0.6397,0.6919,0.5542,0.1829,0.9031,0.7336
86,0,in_cluster,0,13,3,2.518,3.854,0.816,1.393,3.765,0.129,-26.60,0.5169,0.6319,0.6949,0.5286,0.1551,0.9186,0.7332
87,0,in_cluster,0,13,3,2.615,3.902,0.821,1.501,3.765,0.129,-26.78,0.5799,0.6079,0.6957,0.4870,0.1118,0.9551,0.7336
88,0,in_cluster,0,13,3,2.963,3.720,0.899,1.743,3.765,0.129,-25.98,0.7439,0.5785,0.6807,0.6367,0.2576,0.9355,0.7336
89,0,in_cluster,0,13,3,3.269,3.807,0.886,2.109,3.765,0.129,-26.42,0.5833,0.5622,0.6600,0.5569,0.3766,0.9264,0.7319
90,0,in_cluster,0,13,3,3.261,4.120,0.884,2.026,3.765,0.129,-27.66,0.6783,0.5986,0.6788,0.7267,0.6432,0.9583,0.7345
91,0,in_cluster,0,13,3,3.726,4.902,0.849,2.931,3.765,0.129,-31.08,0.7942,0.6551,0.7201,0.7926,0.7121,0.9444,0.7348
92,0,in_cluster,0,13,3,2.883,4.678,0.778,2.145,3.765,0.129,-30.07,0.7139,0.6865,0.7373,0.6868,0.3882,0.9515,0.7335
93,0,in_cluster,0,13,3,2.895,4.258,0.756,2.238,3.765,0.129,-28.23,0.6784,0.7018,0.7421,0.6665,0.5193,0.9353,0.7292
94,0,in_cluster,0,13,3,3.180,4.342,0.735,2.646,3.765,0.129,-28.59,0.6283,0.7103,0.7414,0.7549,0.6877,0.9308,0.7247
95,0,in_cluster,0,13,3,3.021,4.090,0.764,2.301,3.765,0.129,-27.54,0.6423,0.6900,0.7254,0.5987,0.3599,0.9245,0.7258
96,0,in_cluster,0,13,3,3.379,4.596,0.824,2.607,3.765,0.129,-29.71,0.4314,0.5913,0.6794,0.5718,0.2468,0.9104,0.7277
97,0,in_cluster,0,13,3,2.991,4.592,0.842,1.826,3.765,0.129,-29.57,0.6883,0.5029,0.6489,0.5331,0.3081,0.9034,0.7311
98,0,in_cluster,0,13,3,3.392,5.409,0.841,2.220,3.765,0.129,-33.30,0.6908,0.5266,0.6550,0.6658,0.6238,0.8942,0.7323
99,0,in_cluster,0,13,3,2.913,4.825,0.827,1.853,3.765,0.129,-30.75,0.6967,0.5834,0.6773,0.6831,0.5101,0.9286,0.7302
100,0,in_cluster,0,13,3,2.793,4.444,0.849,1.593,3.765,0.129,-28.54,0.6538,0.6215,0.6982,0.5941,0.2917,0.9189,0.7258
101,0,in_cluster,0,13,3,3.248,3.318,0.938,1.993,3.765,0.129,-24.21,0.6613,0.5628,0.6675,0.6037,0.3398,0.9128,0.7247
102,0,in_cluster,0,13,3,3.276,4.013,0.891,1.936,3.765,0.129,-27.20,0.5355,0.5004,0.6485,0.6324,0.3461,0.9250,0.7247
103,0,in_cluster,0,13,3,3.022,4.282,0.876,1.796,3.765,0.129,-28.29,0.4787,0.5410,0.6613,0.5408,0.3004,0.8871,0.7258
104,0,in_cluster,0,13,3,3.391,4.115,0.877,2.462,3.765,0.129,-27.49,0.5002,0.6084,0.6924,0.6546,0.3747,0.8867,0.7258
105,0,in_cluster,0,13,3,2.914,3.815,0.800,1.966,3.765,0.129,-26.45,0.7474,0.6810,0.7256,0.7210,0.4856,0.9240,0.7247
106,0,in_cluster,0,13,3,3.664,3.974,0.853,2.842,3.765,0.129,-26.92,0.7080,0.6419,0.7067,0.7186,0.4315,0.8930,0.7247
107,0,in_cluster,0,13,3,2.872,4.461,0.859,1.652,3.765,0.129,-28.24,0.5457,0.5579,0.6616,0.5550,0.1649,0.9312,0.7291
108,0,in_cluster,0,13,3,2.839,5.058,0.807,1.771,3.765,0.129,-31.50,0.5433,0.5857,0.6663,0.4574,0.1383,0.9082,0.7328
109,0,in_cluster,0,13,3,3.142,4.123,0.869,1.990,3.765,0.129,-27.20,0.7081,0.5903,0.6582,0.6254,0.3630,0.8972,0.7318
110,0,in_cluster,0,13,3,3.339,3.552,0.918,1.995,3.765,0.129,-25.46,0.5600,0.5719,0.6548,0.6510,0.5286,0.9495,0.7258
111,0,in_cluster,0,13,3,3.525,4.113,0.900,2.497,3.765,0.129,-27.47,0.5404,0.6131,0.6891,0.6870,0.5559,0.9044,0.7300
112,0,in_cluster,0,13,10,2.865,4.063,0.826,1.837,3.962,0.112,-25.62,0.6132,0.6104,0.6987,0.5646,0.2475,0.8893,0.7301
113,0,in_cluster,0,13,3,2.796,4.018,0.860,1.478,3.765,0.129,-25.63,0.5203,0.5491,0.6650,0.4834,0.1754,0.9341,0.7268
114,0,in_cluster,0,13,10,2.866,4.975,0.760,2.076,3.962,0.112,-29.82,0.4004,0.5875,0.6808,0.4846,0.2154,0.9185,0.7282
115,0,in_cluster,0,13,10,2.855,4.056,0.755,2.085,3.962,0.112,-25.71,0.3826,0.6512,0.7162,0.4906,0.1753,0.9115,0.7313
116,0,in_cluster,0,13,10,3.516,4.440,0.786,2.822,3.962,0.112,-27.27,0.3647,0.5831,0.6793,0.5802,0.2097,0.9406,0.7292
117,0,in_cluster,0,13,10,2.934,3.778,0.845,1.814,3.962,0.112,-24.60,0.3749,0.5710,0.6658,0.4528,0.2367,0.9181,0.7225
118,0,in_cluster,0,13,10,3.149,4.048,0.852,2.208,3.962,0.112,-25.72,0.3088,0.6081,0.6886,0.4330,0.1079,0.9040,0.7215
119,0,in_cluster,0,13,10,2.859,4.106,0.788,2.009,3.962,0.112,-25.95,0.3438,0.5965,0.6891,0.3723,0.0601,0.8973,0.7215
120,0,in_cluster,0,13,10,2.844,4.010,0.837,1.768,3.962,0.112,-25.57,0.5547,0.6032,0.6868,0.4889,0.1822,0.8921,0.7225
121,0,in_cluster,0,13,10,2.944,4.004,0.786,2.138,3.962,0.112,-25.55,0.3862,0.6229,0.6956,0.4894,0.2408,0.9377,0.7225
122,0,in_cluster,0,13,15,2.733,4.887,0.817,1.751,3.513,0.183,-30.18,0.6717,0.6473,0.7153,0.5166,0.3838,0.9160,0.7225
123,0,in_cluster,0,13,15,3.070,4.195,0.885,2.004,3.513,0.183,-28.53,0.5378,0.6418,0.7071,0.6136,0.5000,0.8762,0.7225
124,0,in_cluster,0,13,10,3.514,3.937,0.792,2.843,3.962,0.112,-25.29,0.4447,0.5769,0.6694,0.5190,0.3008,0.8837,0.7225
125,0,in_cluster,0,13,10,3.148,4.406,0.867,2.101,3.962,0.112,-27.24,0.7282,0.5670,0.6623,0.6671,0.3395,0.8763,0.7247
126,0,in_cluster,0,13,10,3.876,4.519,0.849,3.111,3.962,0.112,-27.75,0.7063,0.6248,0.6943,0.7603,0.5948,0.8734,0.7275
127,0,in_cluster,0,13,10,2.726,4.054,0.680,2.281,3.962,0.112,-25.76,0.6190,0.6590,0.7172,0.4882,0.2223,0.8964,0.7275
128,0,in_cluster,0,13,10,3.393,4.058,0.759,2.746,3.962,0.112,-25.77,0.6538,0.6261,0.6988,0.6071,0.3105,0.9006,0.7279
129,0,in_cluster,0,13,3,3.754,4.707,0.909,2.741,3.765,0.129,-28.58,0.7786,0.5730,0.6604,0.7614,0.5647,0.8768,0.7289
130,0,in_cluster,0,13,3,4.068,4.302,0.958,2.791,3.765,0.129,-28.41,0.6699,0.5892,0.6632,0.7667,0.7205,0.9305,0.7268
131,0,valley,1,13,3,4.587,5.379,0.961,3.268,3.765,0.129,-33.59,0.7330,0.5938,0.6790,0.8012,0.8031,0.8991,0.7244
132,0,in_cluster,0,13,3,4.239,4.510,0.993,2.845,3.765,0.129,-29.34,0.5357,0.5654,0.6724,0.7542,0.6942,0.9209,0.7239
133,0,in_cluster,0,13,3,3.977,4.581,0.966,2.717,3.765,0.129,-29.66,0.8017,0.5665,0.6716,0.8084,0.6952,0.9289,0.7239
134,0,in_cluster,0,13,3,3.973,6.056,0.918,2.950,3.765,0.129,-36.62,0.8969,0.6133,0.6980,0.8499,0.7822,0.8612,0.7268
135,0,in_cluster,0,13,3,3.807,5.673,0.860,2.900,3.765,0.129,-34.87,0.8813,0.6840,0.7370,0.8309,0.7990,0.9261,0.7282
136,0,in_cluster,0,13,15,3.997,4.831,1.030,2.883,3.513,0.183,-31.10,0.8823,0.7418,0.7693,0.8545,0.8918,0.9646,0.7247
137,0,in_cluster,0,13,15,4.213,4.344,1.096,2.933,3.513,0.183,-29.19,0.8710,0.7445,0.7675,0.8571,0.8835,0.9408,0.7220
138,0,in_cluster,0,13,15,4.227,5.007,0.911,3.146,3.513,0.183,-32.28,0.7364,0.6814,0.7204,0.8034,0.7337,0.9047,0.7239
139,0,in_cluster,0,13,9,3.387,5.316,0.768,3.134,3.316,0.173,-32.33,0.4944,0.6108,0.6780,0.7022,0.4247,0.9112,0.7268
140,0,in_cluster,0,13,10,2.838,4.547,0.829,1.842,3.962,0.112,-27.87,0.4335,0.6518,0.7021,0.4945,0.2108,0.8832,0.7244
141,0,in_cluster,0,13,10,2.774,4.223,0.768,1.951,3.962,0.112,-26.45,0.4004,0.7017,0.7412,0.5264,0.0978,0.8728,0.7220
142,0,in_cluster,0,13,10,2.605,4.792,0.626,2.517,3.962,0.112,-28.99,0.7361,0.7376,0.7660,0.6799,0.4237,0.8799,0.7225
143,0,in_cluster,0,13,15,3.020,4.378,0.900,1.848,3.513,0.183,-29.39,0.6909,0.7742,0.7945,0.7727,0.6121,0.8866,0.7225
144,0,in_cluster,0,13,15,2.960,4.772,0.879,1.915,3.513,0.183,-31.13,0.5286,0.7669,0.7803,0.7379,0.5254,0.8876,0.7225
145,0,in_cluster,0,13,15,2.836,5.749,0.788,2.011,3.513,0.183,-33.28,0.5959,0.7275,0.7382,0.7030,0.3294,0.8807,0.7257
146,0,in_cluster,0,13,10,2.646,5.223,0.694,1.996,3.962,0.112,-31.00,0.4510,0.6774,0.7016,0.5709,0.1455,0.8550,0.7291
147,0,in_cluster,0,13,10,2.461,4.909,0.772,1.376,3.962,0.112,-29.53,0.3668,0.6591,0.6790,0.4345,0.0436,0.8487,0.7292
148,0,in_cluster,0,13,10,2.367,4.811,0.746,1.375,3.962,0.112,-29.07,0.4796,0.6572,0.6755,0.5116,0.0928,0.8585,0.7268
149,0,in_cluster,0,13,10,2.497,4.670,0.674,2.124,3.962,0.112,-28.42,0.5568,0.6746,0.6989,0.5607,0.2314,0.8602,0.7256
150,0,in_cluster,0,13,15,2.617,5.320,0.789,1.598,3.513,0.183,-32.31,0.5258,0.7246,0.7287,0.6346,0.2864,0.8681,0.7275
151,0,in_cluster,0,13,15,2.707,5.764,0.797,1.798,3.513,0.183,-32.96,0.5804,0.7686,0.7589,0.7374,0.3663,0.8727,0.7286
152,0,in_cluster,0,13,15,3.004,6.330,0.744,2.452,3.513,0.183,-33.82,0.7247,0.7738,0.7481,0.7364,0.4415,0.8671,0.7292
153,0,in_cluster,0,13,10,3.357,6.540,0.660,2.882,3.962,0.112,-34.94,0.6680,0.6988,0.6570,0.7092,0.2701,0.8410,0.7288
154,0,in_cluster,0,13,10,2.475,6.537,0.708,1.615,3.962,0.112,-32.39,0.4206,0.6585,0.6496,0.5515,0.2227,0.8412,0.7256
155,0,in_cluster,0,13,10,2.393,6.057,0.620,1.894,3.962,0.112,-32.17,0.5665,0.7337,0.6986,0.6004,0.2179,0.8329,0.7239
156,0,in_cluster,0,13,15,2.560,6.262,0.767,1.575,3.513,0.183,-32.61,0.4976,0.7357,0.6901,0.5986,0.2580,0.8331,0.7219
157,0,in_cluster,0,13,10,2.778,6.125,0.628,2.365,3.962,0.112,-33.14,0.4081,0.7028,0.6579,0.4474,0.0736,0.8353,0.7219
158,0,in_cluster,0,13,10,2.858,6.440,0.747,2.110,3.962,0.112,-33.41,0.4780,0.6303,0.6334,0.5570,0.1548,0.8283,0.7225
159,0,in_cluster,0,13,10,2.294,6.656,0.720,1.231,3.962,0.112,-31.96,0.3822,0.6156,0.6296,0.4773,0.1532,0.8348,0.7258
160,0,in_cluster,0,13,10,2.317,6.215,0.707,1.443,3.962,0.112,-32.01,0.4311,0.6375,0.6384,0.5361,0.1254,0.8248,0.7258
161,0,in_cluster,0,13,10,2.616,5.167,0.685,2.208,3.962,0.112,-30.70,0.5564,0.6394,0.6519,0.4803,0.1790,0.8371,0.7225
162,0,in_cluster,0,13,9,3.022,5.365,0.616,3.081,3.316,0.173,-33.33,0.5966,0.6660,0.6677,0.5896,0.3282,0.8641,0.7225
163,0,in_cluster,0,13,15,3.000,5.460,0.843,2.004,3.513,0.183,-33.33,0.5395,0.6758,0.6677,0.5232,0.2593,0.8257,0.7247
164,0,in_cluster,0,13,15,3.589,5.584,0.742,2.816,3.513,0.183,-34.22,0.5990,0.6224,0.6438,0.7006,0.4014,0.8224,0.7258
165,0,in_cluster,0,13,10,3.524,5.232,0.951,2.377,3.962,0.112,-31.21,0.6840,0.5566,0.6277,0.7487,0.5269,0.8501,0.7292
166,0,in_cluster,0,13,9,3.450,5.311,0.909,2.924,3.316,0.173,-32.07,0.4795,0.5324,0.6307,0.6257,0.4939,0.8363,0.7302
167,0,in_cluster,0,13,9,3.381,5.584,0.842,2.925,3.316,0.173,-34.78,0.4532,0.5050,0.6281,0.5730,0.4525,0.8190,0.7282
168,0,in_cluster,0,13,9,3.461,5.686,0.822,3.072,3.316,0.173,-35.09,0.4933,0.5043,0.6280,0.5790,0.4719,0.8197,0.7255
169,0,in_cluster,0,13,10,2.979,5.571,0.890,1.897,3.962,0.112,-32.64,0.5377,0.5705,0.6493,0.4988,0.2564,0.8187,0.7246
170,0,in_cluster,0,13,10,2.992,5.467,0.860,2.153,3.962,0.112,-32.23,0.6204,0.6231,0.6736,0.5610,0.2724,0.8220,0.7268
171,0,in_cluster,0,13,15,2.907,4.932,0.870,1.884,3.513,0.183,-29.94,0.6102,0.6629,0.7019,0.5158,0.3871,0.8284,0.7292
